,transcription,action,object,location
8809,Quieter,decrease,volume,none
8810,Turn the bathroom lights on,activate,lights,washroom
8811,Quieter,decrease,volume,none
8812,Get me my shoes,bring,shoes,none
8813,Turn it up,increase,volume,none
8814,Decrease the temperature,decrease,heat,none
8815,Set language to Chinese,change language,Chinese,none
8816,Turn on the bathroom lights,activate,lights,washroom
8817,Switch language,change language,none,none
8818,Make it quieter,decrease,volume,none
8819,Turn the lights on in the kitchen,activate,lights,kitchen
8820,Decrease the temperature in the washroom,decrease,heat,washroom
8821,Turn the washroom lights off,deactivate,lights,washroom
8822,"I couldn't hear anything, turn up the volume",increase,volume,none
8823,Volume lower,decrease,volume,none
8824,Turn up the volume,increase,volume,none
8825,Fetch my shoes,bring,shoes,none
8826,Turn the temperature in the bedroom down,decrease,heat,bedroom
8827,Bring me my shoes,bring,shoes,none
8828,Fetch the newspaper,bring,newspaper,none
8829,"It’s too loud, turn the volume down",decrease,volume,none
8830,Turn the lights on in the kitchen,activate,lights,kitchen
8831,Turn down the heat in the bathroom,decrease,heat,washroom
8832,Turn on the lights in the bedroom,activate,lights,bedroom
8833,Turn the lamp off,deactivate,lamp,none
8834,Turn the heat up in the washroom,increase,heat,washroom
8835,Set the language,change language,none,none
8836,Turn the bedroom heat down,decrease,heat,bedroom
8837,Quieter,decrease,volume,none
8838,Decrease the volume,decrease,volume,none
8839,Switch the lights off in the kitchen,deactivate,lights,kitchen
8840,Turn the temperature up,increase,heat,none
8841,Turn down the temperature,decrease,heat,none
8842,Turn the heat down in the kitchen,decrease,heat,kitchen
8843,Decrease the temperature,decrease,heat,none
8844,Set my phone's language to English,change language,English,none
8845,Turn up the temperature in the bedroom,increase,heat,bedroom
8846,Turn the lights off,deactivate,lights,none
8847,Turn the kitchen temperature up,increase,heat,kitchen
8848,Turn down the washroom temperature,decrease,heat,washroom
8849,Set my device to Chinese,change language,Chinese,none
8850,Turn the temperature up in the bathroom,increase,heat,washroom
8851,Make it hotter,increase,heat,none
8852,Bring my shoes,bring,shoes,none
8853,Turn down the heat in the kitchen,decrease,heat,kitchen
8854,Turn up the temperature,increase,heat,none
8855,Switch on the bathroom lights,activate,lights,washroom
8856,Turn it down,decrease,volume,none
8857,Turn the heat up in the bathroom,increase,heat,washroom
8858,I need volume,increase,volume,none
8859,Switch language,change language,none,none
8860,Turn up the heat in the washroom,increase,heat,washroom
8861,Turn down the heat in the washroom,decrease,heat,washroom
8862,Volume up,increase,volume,none
8863,Turn volume down,decrease,volume,none
8864,Decrease the temperature in the bedroom,decrease,heat,bedroom
8865,Bedroom lights on,activate,lights,bedroom
8866,Turn up the temperature in the bedroom,increase,heat,bedroom
8867,Turn it up,increase,volume,none
8868,Switch the lights off in the kitchen,deactivate,lights,kitchen
8869,Turn up the temperature in the bedroom,increase,heat,bedroom
8870,Turn down the temperature in the kitchen,decrease,heat,kitchen
8871,I need to practice my Korean. Switch the language,change language,Korean,none
8872,Turn the kitchen lights on,activate,lights,kitchen
8873,Switch the language,change language,none,none
8874,Turn the lights on,activate,lights,none
8875,Quieter,decrease,volume,none
8876,Turn the lights on,activate,lights,none
8877,Switch on the lights in the kitchen,activate,lights,kitchen
8878,Pause the music,deactivate,music,none
8879,Switch the lights off in the kitchen,deactivate,lights,kitchen
8880,Make it cooler,decrease,heat,none
8881,OK now switch the main language to German,change language,German,none
8882,Turn on the lights in the bedroom,activate,lights,bedroom
8883,Bedroom heat down,decrease,heat,bedroom
8884,Stop,deactivate,music,none
8885,Decrease the heating in the kitchen,decrease,heat,kitchen
8886,Turn the heat down in the washroom,decrease,heat,washroom
8887,Decrease audio volume,decrease,volume,none
8888,Turn it up,increase,volume,none
8889,Use a different language,change language,none,none
8890,Turn the heat down,decrease,heat,none
8891,Switch the lights off in the kitchen,deactivate,lights,kitchen
8892,Turn up the bedroom heat,increase,heat,bedroom
8893,Bedroom heat down,decrease,heat,bedroom
8894,Turn on the washroom lights,activate,lights,washroom
8895,Decrease the temperature in the washroom,decrease,heat,washroom
8896,Turn down the washroom temperature,decrease,heat,washroom
8897,Turn volume down,decrease,volume,none
8898,Turn the kitchen lights on,activate,lights,kitchen
8899,Allow a different language,change language,none,none
8900,Turn the heat down,decrease,heat,none
8901,Switch the bedroom lights off,deactivate,lights,bedroom
8902,Bring my socks,bring,socks,none
8903,Turn down the temperature in the bedroom,decrease,heat,bedroom
8904,Increase the volume,increase,volume,none
8905,Open language settings,change language,none,none
8906,Turn down the bedroom heat,decrease,heat,bedroom
8907,OK now switch the main language to German,change language,German,none
8908,Set language to German,change language,German,none
8909,Turn the sound up,increase,volume,none
8910,Bathroom heat down,decrease,heat,washroom
8911,Decrease the heating in the bedroom,decrease,heat,bedroom
8912,Switch on the kitchen lights,activate,lights,kitchen
8913,Turn the temperature down in the washroom,decrease,heat,washroom
8914,OK now switch the main language to Korean,change language,Korean,none
8915,Turn the kitchen temperature down,decrease,heat,kitchen
8916,Fetch my socks,bring,socks,none
8917,Decrease the heating in the kitchen,decrease,heat,kitchen
8918,I need to practice my German. Switch the language,change language,German,none
8919,Turn the temperature up in the washroom,increase,heat,washroom
8920,Lights on in the washroom,activate,lights,washroom
8921,Far too loud,decrease,volume,none
8922,Turn the washroom lights on,activate,lights,washroom
8923,Lower the volume,decrease,volume,none
8924,Fetch my socks,bring,socks,none
8925,Turn the lights on,activate,lights,none
8926,Less heat,decrease,heat,none
8927,Turn the lights off,deactivate,lights,none
8928,Turn the lamp on,activate,lamp,none
8929,Make the music louder,increase,volume,none
8930,Turn the kitchen temperature up,increase,heat,kitchen
8931,Set my phone's language to English,change language,English,none
8932,Turn volume down,decrease,volume,none
8933,Washroom lights off,deactivate,lights,washroom
8934,Play,activate,music,none
8935,Turn up the heat,increase,heat,none
8936,Volume max,increase,volume,none
8937,Turn down the heat,decrease,heat,none
8938,Get me my shoes,bring,shoes,none
8939,Increase the heating in the bathroom,increase,heat,washroom
8940,Less heat,decrease,heat,none
8941,Heat up,increase,heat,none
8942,Lights off in the bedroom,deactivate,lights,bedroom
8943,Louder please,increase,volume,none
8944,I need volume,increase,volume,none
8945,Turn the kitchen temperature down,decrease,heat,kitchen
8946,Turn sound up,increase,volume,none
8947,Turn the bedroom lights on,activate,lights,bedroom
8948,Decrease the temperature in the kitchen,decrease,heat,kitchen
8949,Too quiet,increase,volume,none
8950,Set language to Korean,change language,Korean,none
8951,Resume,activate,music,none
8952,Make the music softer,decrease,volume,none
8953,Set my phone's language to Korean,change language,Korean,none
8954,Lights off,deactivate,lights,none
8955,Turn down the temperature,decrease,heat,none
8956,Change language,change language,none,none
8957,Resume,activate,music,none
8958,Go get me my socks,bring,socks,none
8959,Decrease the temperature in the bathroom,decrease,heat,washroom
8960,Change system language,change language,none,none
8961,I need to practice my Chinese. Switch the language,change language,Chinese,none
8962,Turn down the washroom temperature,decrease,heat,washroom
8963,OK now switch the main language to Korean,change language,Korean,none
8964,Turn the heat up,increase,heat,none
8965,Decrease the heating,decrease,heat,none
8966,Increase the temperature in the bedroom,increase,heat,bedroom
8967,Turn down the bathroom temperature,decrease,heat,washroom
8968,Get me some juice,bring,juice,none
8969,That's too quiet,increase,volume,none
8970,Make it cooler,decrease,heat,none
8971,Switch the lights on,activate,lights,none
8972,Turn the lights off,deactivate,lights,none
8973,Set language to English,change language,English,none
8974,Turn off the music,deactivate,music,none
8975,Get me some juice,bring,juice,none
8976,Turn on the lights,activate,lights,none
8977,Turn the kitchen temperature up,increase,heat,kitchen
8978,Play music,activate,music,none
8979,Turn the heat up in the bathroom,increase,heat,washroom
8980,Set my device to Chinese,change language,Chinese,none
8981,Switch the lights off in the kitchen,deactivate,lights,kitchen
8982,Turn it down,decrease,volume,none
8983,Make the music softer,decrease,volume,none
8984,I need to practice my English. Switch the language,change language,English,none
8985,Turn the sound up,increase,volume,none
8986,Turn the temperature down in the bathroom,decrease,heat,washroom
8987,Could you decrease the heating please?,decrease,heat,none
8988,That's too quiet,increase,volume,none
8989,Turn up the washroom temperature,increase,heat,washroom
8990,Turn the heat up in the bathroom,increase,heat,washroom
8991,Heat up,increase,heat,none
8992,Increase the sound,increase,volume,none
8993,Make it hotter,increase,heat,none
8994,Get me my socks,bring,socks,none
8995,Lights off,deactivate,lights,none
8996,Fetch my socks,bring,socks,none
8997,Turn the temperature up in the washroom,increase,heat,washroom
8998,Stop music,deactivate,music,none
8999,Set the language,change language,none,none
9000,Turn on the bathroom lights,activate,lights,washroom
9001,Kitchen heat down,decrease,heat,kitchen
9002,Turn the kitchen temperature down,decrease,heat,kitchen
9003,Start the music,activate,music,none
9004,Turn the heat up,increase,heat,none
9005,Washroom heat up,increase,heat,washroom
9006,Increase the temperature,increase,heat,none
9007,Washroom heat up,increase,heat,washroom
9008,Louder please,increase,volume,none
9009,Washroom lights off,deactivate,lights,washroom
9010,Lights off in the bedroom,deactivate,lights,bedroom
9011,Turn down the temperature in the bedroom,decrease,heat,bedroom
9012,Get me my shoes,bring,shoes,none
9013,Make it cooler,decrease,heat,none
9014,Turn down the volume,decrease,volume,none
9015,Set my phone's language to Chinese,change language,Chinese,none
9016,Lamp on,activate,lamp,none
9017,Increase the temperature in the bathroom,increase,heat,washroom
9018,Bathroom heat up,increase,heat,washroom
9019,Play,activate,music,none
9020,Bedroom lights off,deactivate,lights,bedroom
9021,Turn volume up,increase,volume,none
9022,Kitchen heat up,increase,heat,kitchen
9023,I need to practice my Chinese. Switch the language,change language,Chinese,none
9024,Bedroom heat up,increase,heat,bedroom
9025,I need to practice my German. Switch the language,change language,German,none
9026,Less heat,decrease,heat,none
9027,Switch on the bathroom lights,activate,lights,washroom
9028,Fetch my shoes,bring,shoes,none
9029,Set language to English,change language,English,none
9030,Decrease audio volume,decrease,volume,none
9031,Get me some juice,bring,juice,none
9032,Turn the heat up in the bathroom,increase,heat,washroom
9033,Bedroom heat up,increase,heat,bedroom
9034,Bring me my shoes,bring,shoes,none
9035,That’s too loud,decrease,volume,none
9036,Could you increase the heating please?,increase,heat,none
9037,Turn the lamp off,deactivate,lamp,none
9038,Lights on in the washroom,activate,lights,washroom
9039,Bring me the newspaper,bring,newspaper,none
9040,I need volume,increase,volume,none
9041,Go get the newspaper,bring,newspaper,none
9042,Stop,deactivate,music,none
9043,Make it hotter,increase,heat,none
9044,Decrease the temperature in the bedroom,decrease,heat,bedroom
9045,Turn the heat up in the washroom,increase,heat,washroom
9046,Lights off in the bedroom,deactivate,lights,bedroom
9047,Decrease the temperature in the bedroom,decrease,heat,bedroom
9048,Lights off,deactivate,lights,none
9049,Decrease the volume,decrease,volume,none
9050,Make the music softer,decrease,volume,none
9051,"I need to hear this, increase the volume",increase,volume,none
9052,Fetch my socks,bring,socks,none
9053,Kitchen lights off,deactivate,lights,kitchen
9054,Reduce audio volume,decrease,volume,none
9055,Bring newspaper,bring,newspaper,none
9056,Put on the music,activate,music,none
9057,Bedroom heat up,increase,heat,bedroom
9058,Turn down the heat in the washroom,decrease,heat,washroom
9059,Lamp off,deactivate,lamp,none
9060,Turn down the washroom temperature,decrease,heat,washroom
9061,Turn sound up,increase,volume,none
9062,Turn the temperature down,decrease,heat,none
9063,Turn the heat down in the bathroom,decrease,heat,washroom
9064,Volume up,increase,volume,none
9065,Turn the heat up in the washroom,increase,heat,washroom
9066,Bring me some juice,bring,juice,none
9067,Turn the heat up,increase,heat,none
9068,Turn volume down,decrease,volume,none
9069,Set language to English,change language,English,none
9070,Set my phone's language to German,change language,German,none
9071,Turn on the lights in the bedroom,activate,lights,bedroom
9072,Turn the heat up,increase,heat,none
9073,Turn off the lights in the bedroom,deactivate,lights,bedroom
9074,Lights off in the kitchen,deactivate,lights,kitchen
9075,Lights on in the kitchen,activate,lights,kitchen
9076,Turn off the kitchen lights,deactivate,lights,kitchen
9077,Bedroom lights off,deactivate,lights,bedroom
9078,Turn off the washroom lights,deactivate,lights,washroom
9079,Decrease the heating,decrease,heat,none
9080,Bring shoes,bring,shoes,none
9081,Use a different language,change language,none,none
9082,Turn the bedroom heat up,increase,heat,bedroom
9083,Set my phone's language to English,change language,English,none
9084,Put on the music,activate,music,none
9085,Turn on the lights in the bedroom,activate,lights,bedroom
9086,Get me my shoes,bring,shoes,none
9087,Turn up the washroom temperature,increase,heat,washroom
9088,Turn the lamp off,deactivate,lamp,none
9089,Resume music,activate,music,none
9090,Decrease the heating in the washroom,decrease,heat,washroom
9091,Decrease sound levels,decrease,volume,none
9092,I need volume,increase,volume,none
9093,Kitchen heat up,increase,heat,kitchen
9094,Turn up the bedroom heat,increase,heat,bedroom
9095,Switch off the lights in the bedroom,deactivate,lights,bedroom
9096,Increase the sound,increase,volume,none
9097,Lights on in the bathroom,activate,lights,washroom
9098,Decrease the heating in the kitchen,decrease,heat,kitchen
9099,Turn the bathroom lights on,activate,lights,washroom
9100,Decrease the heating in the washroom,decrease,heat,washroom
9101,Lights on in the bathroom,activate,lights,washroom
9102,Less heat,decrease,heat,none
9103,Set language to Korean,change language,Korean,none
9104,Increase the volume,increase,volume,none
9105,Turn the lights on in the kitchen,activate,lights,kitchen
9106,Turn down the heat in the washroom,decrease,heat,washroom
9107,Turn up the heat,increase,heat,none
9108,Turn the heat up in the washroom,increase,heat,washroom
9109,Decrease the heating in the washroom,decrease,heat,washroom
9110,Set language to English,change language,English,none
9111,Volume down,decrease,volume,none
9112,Turn down the volume,decrease,volume,none
9113,Set language to English,change language,English,none
9114,OK now switch the main language to Chinese,change language,Chinese,none
9115,Bring some juice,bring,juice,none
9116,Bring me my socks,bring,socks,none
9117,OK now switch the main language to English,change language,English,none
9118,Set language to English,change language,English,none
9119,Turn sound up,increase,volume,none
9120,Turn on the washroom lights,activate,lights,washroom
9121,Turn off the lights,deactivate,lights,none
9122,I need to practice my Chinese. Switch the language,change language,Chinese,none
9123,Could you increase the heating please?,increase,heat,none
9124,Bring shoes,bring,shoes,none
9125,"This video sound is too low, turn up the volume",increase,volume,none
9126,Set language to Chinese,change language,Chinese,none
9127,I need to practice my English. Switch the language,change language,English,none
9128,Resume music,activate,music,none
9129,Put on the music,activate,music,none
9130,Turn sound up,increase,volume,none
9131,Turn down the heat,decrease,heat,none
9132,Heat up,increase,heat,none
9133,Turn down the temperature in the kitchen,decrease,heat,kitchen
9134,Turn down the heat,decrease,heat,none
9135,Set language to German,change language,German,none
9136,OK now switch the main language to German,change language,German,none
9137,Turn down the temperature in the kitchen,decrease,heat,kitchen
9138,Washroom heat down,decrease,heat,washroom
9139,Make it cooler,decrease,heat,none
9140,Bring socks,bring,socks,none
9141,Change language,change language,none,none
9142,Heat up,increase,heat,none
9143,Start the music,activate,music,none
9144,Lights off,deactivate,lights,none
9145,Too loud,decrease,volume,none
9146,Decrease the temperature in the bedroom,decrease,heat,bedroom
9147,Go get me some juice,bring,juice,none
9148,Decrease audio volume,decrease,volume,none
9149,Louder phone,increase,volume,none
9150,Go get me my shoes,bring,shoes,none
9151,Louder phone,increase,volume,none
9152,OK now switch the main language to Korean,change language,Korean,none
9153,Kitchen lights on,activate,lights,kitchen
9154,Go get me my socks,bring,socks,none
9155,Turn down the heat,decrease,heat,none
9156,Resume music,activate,music,none
9157,Decrease the temperature,decrease,heat,none
9158,Increase the heating in the washroom,increase,heat,washroom
9159,I can't hear that,increase,volume,none
9160,Increase the heating in the bathroom,increase,heat,washroom
9161,Resume music,activate,music,none
9162,Heat down,decrease,heat,none
9163,Switch off the lamp,deactivate,lamp,none
9164,Switch on the lights in the kitchen,activate,lights,kitchen
9165,Turn on the bathroom lights,activate,lights,washroom
9166,Turn the kitchen temperature up,increase,heat,kitchen
9167,Play the music,activate,music,none
9168,Decrease sound levels,decrease,volume,none
9169,Decrease the heating in the bathroom,decrease,heat,washroom
9170,Make it louder,increase,volume,none
9171,Could you decrease the heating please?,decrease,heat,none
9172,Washroom heat up,increase,heat,washroom
9173,Louder phone,increase,volume,none
9174,Switch on the washroom lights,activate,lights,washroom
9175,Turn up the temperature,increase,heat,none
9176,Set my phone's language to Korean,change language,Korean,none
9177,Set my phone's language to Chinese,change language,Chinese,none
9178,Volume down,decrease,volume,none
9179,Lights on in the bathroom,activate,lights,washroom
9180,Turn up the heat in the bathroom,increase,heat,washroom
9181,Bring some juice,bring,juice,none
9182,Go get me some juice,bring,juice,none
9183,Turn the volume up,increase,volume,none
9184,Increase the volume,increase,volume,none
9185,Volume up,increase,volume,none
9186,Turn volume up,increase,volume,none
9187,Bring me the newspaper,bring,newspaper,none
9188,Increase the heating in the washroom,increase,heat,washroom
9189,Switch on the kitchen lights,activate,lights,kitchen
9190,Less heat,decrease,heat,none
9191,Turn sound down,decrease,volume,none
9192,Play music,activate,music,none
9193,Bring newspaper,bring,newspaper,none
9194,Less heat,decrease,heat,none
9195,Play,activate,music,none
9196,Volume lower,decrease,volume,none
9197,Heat up,increase,heat,none
9198,Turn up the heat in the kitchen,increase,heat,kitchen
9199,Turn on the kitchen lights,activate,lights,kitchen
9200,Turn up the temperature,increase,heat,none
9201,Reduce audio volume,decrease,volume,none
9202,Decrease the temperature in the washroom,decrease,heat,washroom
9203,Start the music,activate,music,none
9204,Set my device to Chinese,change language,Chinese,none
9205,Start the music,activate,music,none
9206,Switch the lights on,activate,lights,none
9207,Turn the lights on in the kitchen,activate,lights,kitchen
9208,Bring my shoes,bring,shoes,none
9209,"This video sound is too low, turn up the volume",increase,volume,none
9210,Allow a different language,change language,none,none
9211,Stop the music,deactivate,music,none
9212,Turn the heat up in the washroom,increase,heat,washroom
9213,Resume,activate,music,none
9214,Switch on the lights in the kitchen,activate,lights,kitchen
9215,Turn down the temperature in the kitchen,decrease,heat,kitchen
9216,Decrease the temperature,decrease,heat,none
9217,Lights on in the bathroom,activate,lights,washroom
9218,Allow a different language,change language,none,none
9219,Turn the temperature up,increase,heat,none
9220,Turn off the lamp,deactivate,lamp,none
9221,Make it cooler,decrease,heat,none
9222,Start the music,activate,music,none
9223,Turn the lamp off,deactivate,lamp,none
9224,Volume max,increase,volume,none
9225,I need to practice my German. Switch the language,change language,German,none
9226,Increase the heating in the kitchen,increase,heat,kitchen
9227,Get me some juice,bring,juice,none
9228,Change language,change language,none,none
9229,Turn the temperature down in the bathroom,decrease,heat,washroom
9230,Far too quiet,increase,volume,none
9231,Change system language,change language,none,none
9232,Bring the newspaper,bring,newspaper,none
9233,Switch the kitchen lights on,activate,lights,kitchen
9234,Too quiet,increase,volume,none
9235,Increase the temperature in the washroom,increase,heat,washroom
9236,That’s too loud,decrease,volume,none
9237,Switch language,change language,none,none
9238,Switch on the kitchen lights,activate,lights,kitchen
9239,Bedroom heat up,increase,heat,bedroom
9240,Could you decrease the heating?,decrease,heat,none
9241,Turn up the temperature,increase,heat,none
9242,Stop music,deactivate,music,none
9243,Make it quieter,decrease,volume,none
9244,Volume down,decrease,volume,none
9245,Increase the volume,increase,volume,none
9246,Turn the washroom lights off,deactivate,lights,washroom
9247,Turn off the lamp,deactivate,lamp,none
9248,Decrease the temperature in the bedroom,decrease,heat,bedroom
9249,Play the music,activate,music,none
9250,Bring my socks,bring,socks,none
9251,Turn the heat up in the bathroom,increase,heat,washroom
9252,Lower the volume,decrease,volume,none
9253,Turn the volume up,increase,volume,none
9254,Make the music louder,increase,volume,none
9255,Change the language,change language,none,none
9256,Turn up the washroom temperature,increase,heat,washroom
9257,Make it cooler,decrease,heat,none
9258,Turn down the bedroom heat,decrease,heat,bedroom
9259,Far too loud,decrease,volume,none
9260,Lamp off,deactivate,lamp,none
9261,Far too quiet,increase,volume,none
9262,Make it hotter,increase,heat,none
9263,Stop,deactivate,music,none
9264,Volume down,decrease,volume,none
9265,Turn off the lamp,deactivate,lamp,none
9266,Turn on the washroom lights,activate,lights,washroom
9267,Volume lower,decrease,volume,none
9268,Bathroom lights on,activate,lights,washroom
9269,Could you decrease the heating?,decrease,heat,none
9270,Switch languages,change language,none,none
9271,Bedroom heat up,increase,heat,bedroom
9272,Turn down the temperature,decrease,heat,none
9273,Turn up the heat,increase,heat,none
9274,I can't hear that,increase,volume,none
9275,Lights off in the kitchen,deactivate,lights,kitchen
9276,Put on the music,activate,music,none
9277,Turn the lights on in the kitchen,activate,lights,kitchen
9278,"I couldn't hear anything, turn up the volume",increase,volume,none
9279,Turn the heat up in the kitchen,increase,heat,kitchen
9280,Could you increase the heating?,increase,heat,none
9281,Increase the sound volume,increase,volume,none
9282,Too loud,decrease,volume,none
9283,Louder please,increase,volume,none
9284,Turn on the lights,activate,lights,none
9285,Turn down the temperature in the bedroom,decrease,heat,bedroom
9286,Start the music,activate,music,none
9287,Set language to German,change language,German,none
9288,I need to practice my English. Switch the language,change language,English,none
9289,Set my phone's language to Korean,change language,Korean,none
9290,Change language,change language,none,none
9291,Turn down the temperature,decrease,heat,none
9292,Could you increase the heating?,increase,heat,none
9293,Switch the bedroom lights on,activate,lights,bedroom
9294,Lights on,activate,lights,none
9295,Pause,deactivate,music,none
9296,Change language,change language,none,none
9297,Make the music softer,decrease,volume,none
9298,Washroom lights on,activate,lights,washroom
9299,Bring me some juice,bring,juice,none
9300,Switch the lights off,deactivate,lights,none
9301,Switch the lights off,deactivate,lights,none
9302,Reduce audio volume,decrease,volume,none
9303,Decrease the temperature in the bedroom,decrease,heat,bedroom
9304,Reduce audio volume,decrease,volume,none
9305,Turn off the lights in the bedroom,deactivate,lights,bedroom
9306,Turn down the bedroom heat,decrease,heat,bedroom
9307,Washroom heat down,decrease,heat,washroom
9308,Bring socks,bring,socks,none
9309,Turn the kitchen temperature up,increase,heat,kitchen
9310,Decrease the heating in the washroom,decrease,heat,washroom
9311,Turn off the washroom lights,deactivate,lights,washroom
9312,Fetch the newspaper,bring,newspaper,none
9313,Decrease audio volume,decrease,volume,none
9314,Switch on the lights,activate,lights,none
9315,Turn the heat down in the kitchen,decrease,heat,kitchen
9316,Increase the heating,increase,heat,none
9317,"I need to hear this, increase the volume",increase,volume,none
9318,Make it louder,increase,volume,none
9319,Bring me my shoes,bring,shoes,none
9320,Bring my socks,bring,socks,none
9321,Turn down the heat in the bathroom,decrease,heat,washroom
9322,Set language to English,change language,English,none
9323,Volume mute,decrease,volume,none
9324,Turn up the bedroom heat,increase,heat,bedroom
9325,Turn down the temperature in the bedroom,decrease,heat,bedroom
9326,Decrease audio volume,decrease,volume,none
9327,I need to practice my English. Switch the language,change language,English,none
9328,Could you increase the heating?,increase,heat,none
9329,Washroom lights off,deactivate,lights,washroom
9330,Increase the heating in the bedroom,increase,heat,bedroom
9331,Resume,activate,music,none
9332,Set my phone's language to German,change language,German,none
9333,Bring the newspaper,bring,newspaper,none
9334,Decrease volume,decrease,volume,none
9335,Turn off the music,deactivate,music,none
9336,Switch on the lights,activate,lights,none
9337,Switch off the lights,deactivate,lights,none
9338,Turn up the temperature,increase,heat,none
9339,Turn the washroom lights off,deactivate,lights,washroom
9340,Use a different language,change language,none,none
9341,Turn it up,increase,volume,none
9342,Too quiet,increase,volume,none
9343,Turn off the lamp,deactivate,lamp,none
9344,Kitchen heat up,increase,heat,kitchen
9345,Go get me my shoes,bring,shoes,none
9346,Bring me my socks,bring,socks,none
9347,Increase the sound,increase,volume,none
9348,Turn up the heat in the bathroom,increase,heat,washroom
9349,Bedroom heat up,increase,heat,bedroom
9350,Could you decrease the heating please?,decrease,heat,none
9351,Could you decrease the heating?,decrease,heat,none
9352,Get me some juice,bring,juice,none
9353,Bedroom heat down,decrease,heat,bedroom
9354,Stop,deactivate,music,none
9355,Language settings,change language,none,none
9356,Turn the heat up,increase,heat,none
9357,Switch on the kitchen lights,activate,lights,kitchen
9358,Could you increase the heating please?,increase,heat,none
9359,Turn on the kitchen lights,activate,lights,kitchen
9360,Decrease the heating,decrease,heat,none
9361,Decrease sound levels,decrease,volume,none
9362,Language settings,change language,none,none
9363,Could you decrease the heating?,decrease,heat,none
9364,Turn off the kitchen lights,deactivate,lights,kitchen
9365,Switch off the lamp,deactivate,lamp,none
9366,"It’s too loud, turn the volume down",decrease,volume,none
9367,Turn up the temperature in the kitchen,increase,heat,kitchen
9368,Turn up the bathroom temperature,increase,heat,washroom
9369,Turn up the bedroom heat,increase,heat,bedroom
9370,Louder please,increase,volume,none
9371,"I need to hear this, increase the volume",increase,volume,none
9372,Turn on the kitchen lights,activate,lights,kitchen
9373,Increase the heating in the bedroom,increase,heat,bedroom
9374,Switch on the bathroom lights,activate,lights,washroom
9375,Decrease the heating in the bedroom,decrease,heat,bedroom
9376,Switch off the lights in the bedroom,deactivate,lights,bedroom
9377,Lights off in the washroom,deactivate,lights,washroom
9378,Turn sound down,decrease,volume,none
9379,Louder,increase,volume,none
9380,Increase the heating in the bathroom,increase,heat,washroom
9381,Stop the music,deactivate,music,none
9382,Less heat,decrease,heat,none
9383,Lights off,deactivate,lights,none
9384,Set language to German,change language,German,none
9385,Switch the lights off in the kitchen,deactivate,lights,kitchen
9386,Far too quiet,increase,volume,none
9387,Switch off the washroom lights,deactivate,lights,washroom
9388,Reduce audio volume,decrease,volume,none
9389,Washroom heat up,increase,heat,washroom
9390,Bedroom heat down,decrease,heat,bedroom
9391,Turn the temperature down in the bathroom,decrease,heat,washroom
9392,Lights on in the kitchen,activate,lights,kitchen
9393,Lights on,activate,lights,none
9394,Go get me my shoes,bring,shoes,none
9395,Lights off in the bedroom,deactivate,lights,bedroom
9396,Quieter,decrease,volume,none
9397,Open language settings,change language,none,none
9398,Switch off the washroom lights,deactivate,lights,washroom
9399,Turn the heat up in the washroom,increase,heat,washroom
9400,Turn off the lights,deactivate,lights,none
9401,Pause the music,deactivate,music,none
9402,Could you increase the heating?,increase,heat,none
9403,Pause the music,deactivate,music,none
9404,That's too quiet,increase,volume,none
9405,Turn the volume down,decrease,volume,none
9406,Allow a different language,change language,none,none
9407,Turn down the heat in the bathroom,decrease,heat,washroom
9408,Turn down the bathroom temperature,decrease,heat,washroom
9409,Increase the temperature,increase,heat,none
9410,Switch on the bathroom lights,activate,lights,washroom
9411,"I need to hear this, increase the volume",increase,volume,none
9412,Too quiet,increase,volume,none
9413,Turn the heat up in the washroom,increase,heat,washroom
9414,Turn it up,increase,volume,none
9415,Switch the language,change language,none,none
9416,Kitchen lights on,activate,lights,kitchen
9417,Turn the heat up in the washroom,increase,heat,washroom
9418,Turn up the heat in the kitchen,increase,heat,kitchen
9419,Lights on in the washroom,activate,lights,washroom
9420,Lights on in the bedroom,activate,lights,bedroom
9421,Turn the temperature in the bedroom up,increase,heat,bedroom
9422,Turn down the heat in the washroom,decrease,heat,washroom
9423,Volume lower,decrease,volume,none
9424,Bring the newspaper,bring,newspaper,none
9425,Turn the kitchen temperature up,increase,heat,kitchen
9426,"I couldn't hear anything, turn up the volume",increase,volume,none
9427,Lamp on,activate,lamp,none
9428,Turn the washroom lights on,activate,lights,washroom
9429,Set my device to Chinese,change language,Chinese,none
9430,Turn the temperature down in the bathroom,decrease,heat,washroom
9431,Turn down the bathroom temperature,decrease,heat,washroom
9432,Set the language,change language,none,none
9433,Increase the heating,increase,heat,none
9434,Stop music,deactivate,music,none
9435,Volume lower,decrease,volume,none
9436,Turn the bedroom heat up,increase,heat,bedroom
9437,Switch on the washroom lights,activate,lights,washroom
9438,Go get me some juice,bring,juice,none
9439,Washroom lights off,deactivate,lights,washroom
9440,Switch off the lights,deactivate,lights,none
9441,Get me my socks,bring,socks,none
9442,Go get the newspaper,bring,newspaper,none
9443,Turn down the heat in the washroom,decrease,heat,washroom
9444,Turn down the temperature in the kitchen,decrease,heat,kitchen
9445,Volume up,increase,volume,none
9446,Go get the newspaper,bring,newspaper,none
9447,Bring juice,bring,juice,none
9448,Turn down the heat,decrease,heat,none
9449,Turn the heat down in the kitchen,decrease,heat,kitchen
9450,Quieter,decrease,volume,none
9451,Use a different language,change language,none,none
9452,Bring me my shoes,bring,shoes,none
